,global_entity_id,orders,threshold,performance_metric,value
544,IN_AE,3,0.3,f1_score,0.49
946,IN_AE,3,0.3,precision_recall_auc,0.6
341,IN_AE,4,0.3,accuracy,0.66
743,IN_AE,4,0.3,f1_score,0.51
1145,IN_AE,4,0.3,precision_recall_auc,0.61
239,IN_AE,1,0.5,accuracy,0.73
641,IN_AE,1,0.5,f1_score,0.18
1043,IN_AE,1,0.5,precision_recall_auc,0.48
40,IN_AE,2,0.5,accuracy,0.75
442,IN_AE,2,0.5,f1_score,0.3
844,IN_AE,2,0.5,precision_recall_auc,0.51
143,IN_AE,3,0.5,accuracy,0.76
545,IN_AE,3,0.5,f1_score,0.28
947,IN_AE,3,0.5,precision_recall_auc,0.48
342,IN_AE,4,0.5,accuracy,0.79
744,IN_AE,4,0.5,f1_score,0.37
1146,IN_AE,4,0.5,precision_recall_auc,0.48
240,IN_AE,1,0.7,accuracy,0.72
642,IN_AE,1,0.7,f1_score,0.01
1044,IN_AE,1,0.7,precision_recall_auc,0.64
41,IN_AE,2,0.7,accuracy,0.73
443,IN_AE,2,0.7,f1_score,0.02
845,IN_AE,2,0.7,precision_recall_auc,0.64
144,IN_AE,3,0.7,accuracy,0.75
546,IN_AE,3,0.7,f1_score,0.01
948,IN_AE,3,0.7,precision_recall_auc,0.63
343,IN_AE,4,0.7,accuracy,0.78
745,IN_AE,4,0.7,f1_score,0.04
1147,IN_AE,4,0.7,precision_recall_auc,0.45
285,IN_BH,1,0.3,accuracy,0.42
687,IN_BH,1,0.3,f1_score,0.12
1089,IN_BH,1,0.3,precision_recall_auc,0.55
89,IN_BH,2,0.3,accuracy,0.68
491,IN_BH,2,0.3,f1_score,0.0
893,IN_BH,2,0.3,precision_recall_auc,0.13
196,IN_BH,3,0.3,accuracy,0.8
598,IN_BH,3,0.3,f1_score,0.29
1000,IN_BH,3,0.3,precision_recall_auc,0.35
394,IN_BH,4,0.3,accuracy,0.6
796,IN_BH,4,0.3,f1_score,0.0
1198,IN_BH,4,0.3,precision_recall_auc,0.15
286,IN_BH,1,0.5,accuracy,0.46
688,IN_BH,1,0.5,f1_score,0.12
1090,IN_BH,1,0.5,precision_recall_auc,0.8
90,IN_BH,2,0.5,accuracy,0.71
492,IN_BH,2,0.5,f1_score,0.0
894,IN_BH,2,0.5,precision_recall_auc,0.13
270,IN_EG,1,0.3,accuracy,0.56
672,IN_EG,1,0.3,f1_score,0.35
1074,IN_EG,1,0.3,precision_recall_auc,0.59
73,IN_EG,2,0.3,accuracy,0.57
475,IN_EG,2,0.3,f1_score,0.44
877,IN_EG,2,0.3,precision_recall_auc,0.63
176,IN_EG,3,0.3,accuracy,0.56
578,IN_EG,3,0.3,f1_score,0.42
980,IN_EG,3,0.3,precision_recall_auc,0.65
375,IN_EG,4,0.3,accuracy,0.62
777,IN_EG,4,0.3,f1_score,0.49
1179,IN_EG,4,0.3,precision_recall_auc,0.68
271,IN_EG,1,0.5,accuracy,0.55
673,IN_EG,1,0.5,f1_score,0.11
1075,IN_EG,1,0.5,precision_recall_auc,0.64
74,IN_EG,2,0.5,accuracy,0.53
476,IN_EG,2,0.5,f1_score,0.15
878,IN_EG,2,0.5,precision_recall_auc,0.58
177,IN_EG,3,0.5,accuracy,0.52
579,IN_EG,3,0.5,f1_score,0.16
981,IN_EG,3,0.5,precision_recall_auc,0.64
376,IN_EG,4,0.5,accuracy,0.57
778,IN_EG,4,0.5,f1_score,0.26
1180,IN_EG,4,0.5,precision_recall_auc,0.69
272,IN_EG,1,0.7,accuracy,0.53
674,IN_EG,1,0.7,f1_score,0.01
1076,IN_EG,1,0.7,precision_recall_auc,0.73
75,IN_EG,2,0.7,accuracy,0.52
477,IN_EG,2,0.7,f1_score,0.03
879,IN_EG,2,0.7,precision_recall_auc,0.64
178,IN_EG,3,0.7,accuracy,0.5
