,global_entity_id,orders,threshold,performance_metric,value
134,NP_HU,4,0.7,accuracy,0.05
433,NP_HU,4,0.7,f1_score,0.0
732,NP_HU,4,0.7,precision_recall_auc,0.45
41,OP_SE,1,0.3,accuracy,0.79
340,OP_SE,1,0.3,f1_score,0.01
639,OP_SE,1,0.3,precision_recall_auc,0.16
115,OP_SE,2,0.3,accuracy,0.24
414,OP_SE,2,0.3,f1_score,0.38
713,OP_SE,2,0.3,precision_recall_auc,0.57
282,OP_SE,3,0.3,accuracy,0.61
581,OP_SE,3,0.3,f1_score,0.76
880,OP_SE,3,0.3,precision_recall_auc,0.81
194,OP_SE,4,0.3,accuracy,0.75
493,OP_SE,4,0.3,f1_score,0.86
792,OP_SE,4,0.3,precision_recall_auc,0.89
42,OP_SE,1,0.5,accuracy,0.79
341,OP_SE,1,0.5,f1_score,0.0
640,OP_SE,1,0.5,precision_recall_auc,0.1
116,OP_SE,2,0.5,accuracy,0.38
415,OP_SE,2,0.5,f1_score,0.0
714,OP_SE,2,0.5,precision_recall_auc,0.3
283,OP_SE,3,0.5,accuracy,0.17
582,OP_SE,3,0.5,f1_score,0.26
881,OP_SE,3,0.5,precision_recall_auc,0.53
195,OP_SE,4,0.5,accuracy,0.62
494,OP_SE,4,0.5,f1_score,0.77
793,OP_SE,4,0.5,precision_recall_auc,0.86
43,OP_SE,1,0.7,accuracy,0.79
342,OP_SE,1,0.7,f1_score,0.0
641,OP_SE,1,0.7,precision_recall_auc,0.1
196,OP_SE,4,0.7,accuracy,0.12
495,OP_SE,4,0.7,f1_score,0.0
794,OP_SE,4,0.7,precision_recall_auc,0.41
104,PO_FI,2,0.3,accuracy,0.22
403,PO_FI,2,0.3,f1_score,0.36
702,PO_FI,2,0.3,precision_recall_auc,0.58
268,PO_FI,3,0.3,accuracy,0.72
567,PO_FI,3,0.3,f1_score,0.84
866,PO_FI,3,0.3,precision_recall_auc,0.92
269,PO_FI,3,0.5,accuracy,0.28
568,PO_FI,3,0.5,f1_score,0.43
867,PO_FI,3,0.5,precision_recall_auc,0.82
6,PY_AR,1,0.5,accuracy,0.69
305,PY_AR,1,0.5,f1_score,0.01
604,PY_AR,1,0.5,precision_recall_auc,0.36
60,PY_AR,2,0.5,accuracy,0.33
359,PY_AR,2,0.5,f1_score,0.5
658,PY_AR,2,0.5,precision_recall_auc,0.64
221,PY_AR,3,0.5,accuracy,0.63
520,PY_AR,3,0.5,f1_score,0.77
819,PY_AR,3,0.5,precision_recall_auc,0.83
137,PY_AR,4,0.5,accuracy,0.71
436,PY_AR,4,0.5,f1_score,0.83
735,PY_AR,4,0.5,precision_recall_auc,0.86
61,PY_AR,2,0.7,accuracy,0.4
360,PY_AR,2,0.7,f1_score,0.0
659,PY_AR,2,0.7,precision_recall_auc,0.55
222,PY_AR,3,0.7,accuracy,0.34
521,PY_AR,3,0.7,f1_score,0.41
820,PY_AR,3,0.7,precision_recall_auc,0.69
138,PY_AR,4,0.7,accuracy,0.54
437,PY_AR,4,0.7,f1_score,0.7
736,PY_AR,4,0.7,precision_recall_auc,0.81
21,PY_BO,1,0.3,accuracy,0.7
320,PY_BO,1,0.3,f1_score,0.0
619,PY_BO,1,0.3,precision_recall_auc,0.15
85,PY_BO,2,0.3,accuracy,0.37
384,PY_BO,2,0.3,f1_score,0.54
683,PY_BO,2,0.3,precision_recall_auc,0.69
245,PY_BO,3,0.3,accuracy,0.71
544,PY_BO,3,0.3,f1_score,0.83
843,PY_BO,3,0.3,precision_recall_auc,0.86
161,PY_BO,4,0.3,accuracy,0.65
460,PY_BO,4,0.3,f1_score,0.79
759,PY_BO,4,0.3,precision_recall_auc,0.85
86,PY_BO,2,0.5,accuracy,0.34
385,PY_BO,2,0.5,f1_score,0.01
684,PY_BO,2,0.5,precision_recall_auc,0.83
246,PY_BO,3,0.5,accuracy,0.38
545,PY_BO,3,0.5,f1_score,0.55
844,PY_BO,3,0.5,precision_recall_auc,0.74
162,PY_BO,4,0.5,accuracy,0.53
461,PY_BO,4,0.5,f1_score,0.69
760,PY_BO,4,0.5,precision_recall_auc,0.81
45,PY_CL,1,0.3,accuracy,0.73
344,PY_CL,1,0.3,f1_score,0.02
